Code;Company;IPO
NSSS;PT Nusantara Sawit Sejahtera Tbk;10-Mar-23
CUAN;PT Petrindo Jaya Kreasi Tbk;08-Mar-23
SAGE;PT Saptausaha Gemilangindah Tbk;08-Mar-23
TRON;PT Teknologi Karya Digital Nusa Tbk.;08-Mar-23
PTMP;PT Mitra Pack Tbk.;06-Mar-23
BDKR;PT Berdikari Pondasi Perkasa Tbk.;03-Mar-23
HILL;PT Hillcon Tbk;01-Mar-23
FUTR;PT Lini Imaji Kreasi Ekosistem Tbk;27-Feb-23
PGEO;PT Pertamina Geothermal Energy Tbk;24-Feb-23
KING;PT Hoffmen Cleanindo Tbk;16-Feb-23
CHIP;PT Pelita Teknologi Global Tbk;08-Feb-23
HALO;PT Haloni Jane Tbk;08-Feb-23
PACK;PT Solusi Kemasan Digital Tbk;08-Feb-23
VAST;PT Vastland Indonesia Tbk;08-Feb-23
IRSX;PT Aviana Sinar Abadi Tbk;07-Feb-23
NAYZ;PT Hassana Boga Sejahtera Tbk;06-Feb-23
FWCT;PT Wijaya Cahaya Timber Tbk;01-Feb-23
LAJU;PT Jasa Berdikari Logistics Tbk;27-Jan-23
PEVE;PT Penta Valent Tbk;24-Jan-23
BMBL;PT Lavender Bina Cendikia Tbk;11-Jan-23
WINE;PT Hatten Bali Tbk;10-Jan-23
CBRE;PT Cakra Buana Resources Energi Tbk;09-Jan-23
SUNI;PT Sunindo Pratama Tbk;09-Jan-23
BEER;PT Jobubu Jarum Minahasa Tbk;06-Jan-23
CBPE;PT Citra Buana Prasida Tbk;06-Jan-23
ELIT;PT Data Sinergitama Jaya Tbk;06-Jan-23
SOUL;PT Mitra Tirta Buwana Tbk;06-Jan-23
VTNY;PT Venteny Fortuna International Tbk;15 Des 2022
ISAP;PT Isra Presisi Indonesia Tbk;09 Des 2022
PADA;PT Personel Alih Daya Tbk;08 Des 2022
MMIX;PT Multi Medika Internasional Tbk;06 Des 2022
NINE;PT Techno9 Indonesia Tbk;05 Des 2022
ZATA;PT Bersama Zatta Jaya Tbk;10-Nov-22
KDTN;PT Puri Sentul Permai Tbk;09-Nov-22
PDPP;PT Primadaya Plastisindo Tbk;09-Nov-22
BELI;PT Global Digital Niaga Tbk;08-Nov-22
BSBK;PT Wulandari Bangun Laksana Tbk;08-Nov-22
CBUT;PT Citra Borneo Utama Tbk;08-Nov-22
MKTR;PT Menthobi Karyatama Raya Tbk;08-Nov-22
OMED;PT Jayamas Medica Industri Tbk;08-Nov-22
PRAY;PT Famon Awal Bros Sedaya Tbk;08-Nov-22
COAL;PT Black Diamond Resources Tbk;07-Sep-22
CRAB;PT Toba Surimi Industries Tbk;10 Agt 2022
MEDS;PT Hetzer Medical Indonesia Tbk;10 Agt 2022
BUAH;PT Segar Kumala Indonesia Tbk;09 Agt 2022
KLIN;PT Klinko Karya Imaji Tbk;09 Agt 2022
TOOL;PT Rohartindo Nusantara Luas Tbk;09 Agt 2022
ELPI;PT Pelayaran Nasional Ekalya Purnamasari Tbk;08 Agt 2022
EURO;PT Estee Gold Feet Tbk;08 Agt 2022
KKES;PT Kusuma Kemindo Sentosa Tbk;08 Agt 2022
MORA;PT Mora Telematika Indonesia Tbk;08 Agt 2022
RAFI;PT Sari Kreasi Boga Tbk;05 Agt 2022
AMMS;PT Agung Menjangan Mas Tbk;04 Agt 2022
JARR;PT Jhonlin Agro Raya Tbk;04 Agt 2022
GULA;PT Aman Agrindo Tbk;03 Agt 2022
RCCC;PT Utama Radar Cahaya Tbk;02 Agt 2022
HATM;PT Habco Trans Maritima Tbk;26-Jul-22
KRYA;PT Bangun Karya Perkasa Jaya Tbk;25-Jul-22
AXIO;PT Tera Data Indonusa Tbk;20-Jul-22
DEWI;PT Dewi Shri Farmindo Tbk;18-Jul-22
ARKO;PT Arkora Hydro Tbk.;08-Jul-22
CHEM;PT Chemstar Indonesia Tbk;08-Jul-22
TRGU;PT Cerestar Indonesia Tbk;08-Jul-22
SWID;PT Saraswanti Indoland Development Tbk;07-Jul-22
ASHA;PT Cilacap Samudera Fishing Industry Tbk;27 Mei 2022
OLIV;PT Oscar Mitra Sukses Sejahtera Tbk;17 Mei 2022
IBOS;PT Indo Boga Sukses Tbk;25-Apr-22
WINR;PT Winner Nusantara Jaya Tbk;25-Apr-22
MTMH;PT Murni Sadar Tbk;20-Apr-22
TLDN;PT Teladan Prima Agro Tbk;12-Apr-22
GOTO;PT GoTo Gojek Tokopedia Tbk;11-Apr-22
SICO;PT Sigma Energy Compressindo Tbk;08-Apr-22
WIRG;PT WIR ASIA Tbk;04-Apr-22
BIKE;PT Sepeda Bersama Indonesia Tbk;21-Mar-22
NANO;PT Nanotech Indonesia Global Tbk;10-Mar-22
STAA;PT Sumber Tani Agung Resources Tbk;10-Mar-22
SMKM;PT Sumber Mas Konstruksi Tbk;09-Mar-22
NTBK;PT Nusatama Berkah Tbk;09-Feb-22
ENAK;PT Champ Resto Indonesia Tbk;08-Feb-22
BAUT;PT Mitra Angkasa Sejahtera Tbk;28-Jan-22
NETV;PT Net Visi Media Tbk;26-Jan-22
ASLC;PT Autopedia Sukses Lestari Tbk;25-Jan-22
SEMA;PT Semacom Integrated Tbk;10-Jan-22
ADMR;PT Adaro Minerals Indonesia Tbk;03-Jan-22
DRMA;PT Dharma Polimetal Tbk;20 Des 2021
BSML;PT Bintang Samudera Mandiri Lines Tbk;16 Des 2021
NASI;PT Wahana Inti Makmur Tbk;13 Des 2021
IPPE;PT Indo Pureco Pratama Tbk;09 Des 2021
AVIA;PT Avia Avian Tbk;08 Des 2021
OBMD;PT OBM Drilchem Tbk;08 Des 2021
RMKE;PT RMK Energy Tbk;07 Des 2021
CMRY;PT Cisarua Mountain Dairy Tbk;06 Des 2021
TAYS;PT Jaya Swarasa Agung Tbk;06 Des 2021
WGSH;PT Wira Global Solusi Tbk;06 Des 2021
WMPP;PT Widodo Makmur Perkasa Tbk;06 Des 2021
BINO;PT Perma Plasindo Tbk;25-Nov-21
DEPO;PT Caturkarda Depo Bangunan Tbk;25-Nov-21
MTEL;PT Dayamitra Telekomunikasi Tbk;22-Nov-21
BOBA;PT Formosa Ingredient Factory Tbk;01-Nov-21
KUAS;PT Ace Oldfields Tbk;25 Okt 2021
IDEA;PT Idea Indonesia Akademi Tbk;09-Sep-21
CMNT;PT Cemindo Gemilang Tbk;08-Sep-21
GTSI;PT GTS Internasional Tbk;08-Sep-21
RSGK;PT Kedoya Adyaraya Tbk;08-Sep-21
RUNS;PT Global Sukses Solusi Tbk;08-Sep-21
SBMA;PT Surya Biru Murni Acetylene Tbk;08-Sep-21
MCOL;PT Prima Andalan Mandiri Tbk;07-Sep-21
GPSO;PT Geoprima Solusi Tbk;06-Sep-21
OILS;PT Indo Oil Perkasa Tbk;06-Sep-21
HAIS;PT Hasnur Internasional Shipping Tbk;01-Sep-21
BUKA;PT Bukalapak.com Tbk;06 Agt 2021
UVCR;PT Trimegah Karya Pratama Tbk.;27-Jul-21
NICL;PT PAM Mineral Tbk;09-Jul-21
FLMC;PT Falmaco Nonwoven Industri Tbk;08-Jul-21
BMHS;PT Bundamedik Tbk;06-Jul-21
IPAC;PT Era Graharealty Tbk;30-Jun-21
MASB;PT Bank Multiarta Sentosa Tbk;30-Jun-21
ARCI;PT Archi Indonesia Tbk;28-Jun-21
LABA;PT Ladangbaja Murni Tbk;10-Jun-21
TRUE;PT Triniti Dinamik Tbk;10-Jun-21
MGLV;PT Panca Anugrah Wisesa Tbk;08-Jun-21
HOPE;PT Harapan Duta Pertiwi Tbk.;24 Mei 2021
ADCP;PT Adhi Commuter Properti Tbk;21 Mei 2021
LUCY;PT Lima Dua Lima Tiga Tbk;05 Mei 2021
NPGF;PT Nusa Palapa Gemilang Tbk;14-Apr-21
TAPG;PT Triputra Agro Persada Tbk.;12-Apr-21
FIMP;PT Fimperkasa Utama Tbk;09-Apr-21
LFLO;PT Imago Mulia Persada Tbk;07-Apr-21
ZYRX;PT Zyrexindo Mandiri Buana Tbk;30-Mar-21
SNLK;PT Sunter Lakeside Hotel Tbk.;29-Mar-21
BEBS;PT Berkah Beton Sadaya Tbk;10-Mar-21
UNIQ;PT Ulima Nitra Tbk;08-Mar-21
EDGE;PT Indointernet Tbk.;08-Feb-21
WMUU;PT Widodo Makmur Unggas Tbk;02-Feb-21
BANK;PT Bank Aladin Syariah Tbk;01-Feb-21
UFOE;PT Damai Sejahtera Abadi Tbk;01-Feb-21
DGNS;PT Diagnos Laboratorium Utama Tbk;15-Jan-21
KETR;PT Ketrosden Triasmitra Tbk;11-Jan-21
DCII;PT DCI Indonesia Tbk;06-Jan-21
FAPA;PT FAP Agri Tbk;04-Jan-21
WIFI;PT Solusi Sinergi Digital Tbk;30 Des 2020
PMMP;PT Panca Mitra Multiperdana Tbk.;18 Des 2020
VICI;PT Victoria Care Indonesia Tbk;17 Des 2020
ATAP;PT Trimitra Prawara Goldland Tbk;11 Des 2020
PTDU;PT Djasa Ubersakti Tbk;08 Des 2020
PLAN;PT Planet Properindo Jaya Tbk;15-Sep-20
ENZO;PT Morenzo Abadi Perkasa Tbk;14-Sep-20
HOMI;PT Grand House Mulia Tbk;10-Sep-20
ROCK;PT Rockfields Properti Indonesia Tbk.;10-Sep-20
PURI;PT Puri Global Sukses Tbk;08-Sep-20
SOHO;PT Soho Global Health Tbk;08-Sep-20
BBSI;PT Krom Bank Indonesia Tbk;07-Sep-20
KMDS;PT Kurniamitra Duta Sentosa Tbk.;07-Sep-20
SCNP;PT Selaras Citra Nusantara Perkasa Tbk;07-Sep-20
PNGO;PT Pinago Utama Tbk;31 Agt 2020
TRJA;PT Transkon Jaya Tbk.;27 Agt 2020
SGER;PT Sumber Global Energy Tbk.;10 Agt 2020
TOYS;PT Sunindo Adipersada Tbk.;06 Agt 2020
PPGL;PT Prima Globalindo Logistik Tbk.;20-Jul-20
PGUN;PT Pradiksi Gunatama Tbk;07-Jul-20
SOFA;PT Boston Furniture Industries Tbk..;07-Jul-20
UANG;PT Pakuan Tbk;06-Jul-20
EPAC;PT Megalestari Epack Sentosaraya Tbk.;01-Jul-20
TECH;PT Indosterling Technomedia Tbk;04-Jun-20
CASH;PT Cashlez Worldwide Indonesia Tbk.;04 Mei 2020
BBSS;PT Bumi Benowo Sukses Sejahtera Tbk;15-Apr-20
BHAT;PT Bhakti Multi Artha Tbk.;15-Apr-20
CBMF;PT Cahaya Bintang Medan Tbk;09-Apr-20
CSMI;PT Cipta Selera Murni Tbk.;09-Apr-20
RONY;PT Aesler Grup Internasional Tbk;09-Apr-20
KBAG;PT Karya Bersama Anugerah Tbk;08-Apr-20
SBAT;PT Sejahtera Bintang Abadi Textile Tbk.;08-Apr-20
SAMF;PT Saraswanti Anugerah Makmur Tbk.;31-Mar-20
AMAN;PT Makmur Berkah Amanda Tbk.;13-Mar-20
CARE;PT Metro Healthcare Indonesia Tbk;13-Mar-20
BESS;PT Batulicin Nusantara Maritim Tbk.;09-Mar-20
ESTA;PT Esta Multi Usaha Tbk.;09-Mar-20
ASPI;PT Andalan Sakti Primaindo Tbk.;17-Feb-20
DADA;PT Diamond Citra Propertindo Tbk.;14-Feb-20
AYLS;PT Agro Yasa Lestari Tbk;12-Feb-20
IKAN;PT Era Mandiri Cemerlang Tbk;12-Feb-20
TAMA;PT Lancartama Sejati Tbk.;10-Feb-20
PTPW;PT Pratama Widya Tbk.;07-Feb-20
PURA;PT Putra Rajawali Kencana Tbk.;29-Jan-20
DMND;PT Diamond Food Indonesia Tbk.;22-Jan-20
TRIN;PT Perintis Triniti Properti Tbk;15-Jan-20
AMOR;PT Ashmore Asset Management Indonesia Tbk.;14-Jan-20
INDO;PT Royalindo Investa Wijaya Tbk;13-Jan-20
AMAR;PT Bank Amar Indonesia Tbk.;09-Jan-20
CSRA;PT Cisadane Sawit Raya Tbk.;09-Jan-20
PGJO;PT Tourindo Guide Indonesia Tbk.;08-Jan-20
GLVA;PT Galva Technologies Tbk;23 Des 2019
UCID;PT Uni-Charm Indonesia Tbk.;20 Des 2019
PMJS;PT Putra Mandiri Jembar Tbk;18 Des 2019
IFII;PT Indonesia Fibreboard Industry Tbk;10 Des 2019
REAL;PT Repower Asia Indonesia Tbk.;06 Des 2019
IFSH;PT Ifishdeco Tbk.;05 Des 2019
AGAR;PT Asia Sejahtera Mina Tbk;02 Des 2019
KEJU;PT Mulia Boga Raya Tbk;25-Nov-19
PSGO;PT Palma Serasih Tbk.;25-Nov-19
TEBE;PT Dana Brata Luhur Tbk.;18-Nov-19
ESIP;PT Sinergi Inti Plastindo Tbk.;14-Nov-19
SINI;PT Singaraja Putra Tbk.;08-Nov-19
WOWS;PT Ginting Jaya Energi Tbk;08-Nov-19
DMMX;PT Digital Mediatama Maxima Tbk;21 Okt 2019
IRRA;PT Itama Ranoraya Tbk.;15 Okt 2019
PURE;PT Trinitan Metals and Minerals Tbk;09 Okt 2019
SLIS;PT Gaya Abadi Sempurna Tbk;07 Okt 2019
NZIA;PT Nusantara Almazia, Tbk.;25-Sep-19
OPMS;PT Optima Prima Metal Sinergi Tbk.;23-Sep-19
GGRP;PT Gunung Raja Paksi Tbk.;19-Sep-19
TFAS;PT Telefast Indonesia Tbk.;17-Sep-19
BAPI;PT Bhakti Agung Propertindo Tbk.;16-Sep-19
KEEN;PT Kencana Energi Lestari Tbk.;02-Sep-19
HDIT;PT Hensel Davest Indonesia Tbk;12-Jul-19
SMKL;PT Satyamitra Kemas Lestari Tbk;11-Jul-19
ARKA;PT Arkha Jayanti Persada Tbk.;10-Jul-19
INOV;PT Inocycle Technology Group Tbk.;10-Jul-19
EAST;PT Eastparc Hotel Tbk;09-Jul-19
FUJI;PT Fuji Finance Indonesia Tbk.;09-Jul-19
KOTA;PT DMS Propertindo Tbk.;09-Jul-19
LIFE;PT Asuransi Jiwa Sinarmas MSIG Tbk.;09-Jul-19
BLUE;PT Berkah Prima Perkasa Tbk;08-Jul-19
ENVY;PT Envy Technologies Indonesia Tbk;08-Jul-19
IPTV;PT MNC Vision Networks Tbk.;08-Jul-19
PAMG;PT Bima Sakti Pertiwi Tbk;05-Jul-19
ITIC;PT Indonesian Tobacco Tbk.;04-Jul-19
KAYU;PT Darmi Bersaudara Tbk.;04-Jul-19
KJEN;PT Krida Jaringan Nusantara Tbk.;01-Jul-19
POLU;PT Golden Flower Tbk.;26-Jun-19
SFAN;PT Surya Fajar Capital Tbk;19-Jun-19
CCSI;PT Communication Cable Systems Indonesia Tbk.;18-Jun-19
BOLA;PT Bali Bintang Sejahtera Tbk.;17-Jun-19
FITT;PT Hotel Fitra International Tbk;11-Jun-19
JAST;PT Jasnita Telekomindo Tbk.;16 Mei 2019
POSA;PT Bliss Properti Indonesia Tbk.;10 Mei 2019
HRME;PT Menteng Heritage Realty Tbk.;12-Apr-19
CPRI;PT Capri Nusa Satu Properti Tbk.;11-Apr-19
MTPS;PT Meta Epsi Tbk.;10-Apr-19
COCO;PT Wahana Interfood Nusantara Tbk.;20-Mar-19
JAYA;PT Armada Berjaya Trans Tbk.;21-Feb-19
CLAY;PT Citra Putra Realty Tbk;18-Jan-19
NATO;PT Surya Permata Andalan Tbk;18-Jan-19
BEEF;PT Estika Tata Tiara Tbk.;10-Jan-19
POLI;PT Pollux Hotels Group Tbk;10-Jan-19
FOOD;PT Sentra Food Indonesia Tbk.;08-Jan-19
PEHA;PT Phapros Tbk;26 Des 2018
ZONE;PT Mega Perintis Tbk.;12 Des 2018
SOTS;PT Satria Mega Kencana Tbk.;10 Des 2018
URBN;PT Urban Jakarta Propertindo Tbk.;10 Des 2018
LUCK;PT Sentral Mitra Informatika Tbk.;28-Nov-18
DIVA;PT Distribusi Voucher Nusantara Tbk;27-Nov-18
POLA;PT Pool Advista Finance Tbk.;16-Nov-18
DEAL;PT Dewata Freightinternational Tbk.;11-Nov-18
SOSS;PT Shield On Service Tbk.;06-Nov-18
SATU;PT Kota Satu Properti Tbk.;05-Nov-18
CAKK;PT Cahayaputra Asa Keramik Tbk.;31 Okt 2018
YELO;PT Yelooo Integra Datanet Tbk.;29 Okt 2018
SKRN;PT Superkrane Mitra Utama Tbk;11 Okt 2018
DUCK;PT Jaya Bersama Indo Tbk.;10 Okt 2018
GOOD;PT Garudafood Putra Putri Jaya Tbk.;10 Okt 2018
HKMU;PT HK Metals Utama Tbk;09 Okt 2018
MPRO;PT Maha Properti Indonesia Tbk.;09 Okt 2018
KPAS;PT Cottonindo Ariesta Tbk.;05 Okt 2018
SURE;PT Super Energy Tbk.;05 Okt 2018
SAPX;PT Satria Antaran Prima Tbk.;03 Okt 2018
CITY;PT Natura City Developments Tbk.;28-Sep-18
DIGI;PT Arkadia Digital Media Tbk;18-Sep-18
PANI;PT Pratama Abadi Nusa Industri Tbk.;18-Sep-18
MOLI;PT Madusari Murni Indah Tbk.;30 Agt 2018
LAND;PT Trimitra Propertindo Tbk.;23 Agt 2018
ANDI;PT Andira Agro Tbk;16 Agt 2018
FILM;PT MD Pictures Tbk.;07 Agt 2018
MGRO;PT Mahkota Group Tbk.;12-Jul-18
NFCX;PT NFC Indonesia Tbk;12-Jul-18
NUSA;PT Sinergi Megah Internusa Tbk;12-Jul-18
POLL;PT Pollux Properties Indonesia Tbk.;11-Jul-18
BPTR;PT Batavia Prosperindo Trans Tbk.;09-Jul-18
IPCC;PT Indonesia Kendaraan Terminal Tbk.;09-Jul-18
RISE;PT Jaya Sukses Makmur Sentosa Tbk.;09-Jul-18
TCPI;PT Transcoal Pacific Tbk.;06-Jul-18
MAPA;PT MAP Aktif Adiperkasa Tbk.;05-Jul-18
TNCA;PT Trimuda Nuansa Citra Tbk.;28-Jun-18
KPAL;PT Steadfast Marine Tbk;08-Jun-18
MSIN;PT MNC Digital Entertainment Tbk;08-Jun-18
SWAT;PT Sriwahana Adityakarta Tbk.;08-Jun-18
TUGU;PT Asuransi Tugu Pratama Indonesia Tbk;28 Mei 2018
PZZA;PT Sarimelati Kencana Tbk.;23 Mei 2018
TRUK;PT Guna Timur Raya Tbk.;23 Mei 2018
HEAL;PT Medikaloka Hermina Tbk.;16 Mei 2018
PRIM;PT Royal Prima Tbk.;15 Mei 2018
SPTO;PT Surya Pertiwi Tbk;14 Mei 2018
BRIS;PT Bank Syariah Indonesia Tbk;09 Mei 2018
BTPS;PT Bank BTPN Syariah Tbk.;08 Mei 2018
NICK;PT Charnic Capital Tbk.;02 Mei 2018
DFAM;PT Dafam Property Indonesia Tbk;27-Apr-18
GHON;PT Gihon Telekomunikasi Indonesia Tbk;09-Apr-18
TDPM;PT Tridomain Performance Materials Tbk.;09-Apr-18
INPS;PT Indah Prakasa Sentosa Tbk.;06-Apr-18
JSKY;PT Sky Energy Indonesia Tbk.;28-Mar-18
HELI;PT Jaya Trishindo Tbk;27-Mar-18
BOSS;PT Borneo Olah Sarana Sukses Tbk.;15-Feb-18
LCKM;PT LCK Global Kedaton Tbk;16-Jan-18
PCAR;PT Prima Cakrawala Abadi Tbk;29 Des 2017
IPCM;PT Jasa Armada Indonesia Tbk.;22 Des 2017
CAMP;PT Campina Ice Cream Industry Tbk.;19 Des 2017
JMAS;PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk;18 Des 2017
DWGL;PT Dwi Guna Laksana Tbk;13 Des 2017
PBID;PT Panca Budi Idaman Tbk;13 Des 2017
PSSI;PT IMC Pelita Logistik Tbk;05 Des 2017
WEGE;PT Wijaya Karya Bangunan Gedung Tbk.;30-Nov-17
PPRE;PT PP Presisi Tbk.;24-Nov-17
MCAS;PT M Cash Integrasi Tbk;01-Nov-17
ZINC;PT Kapuas Prima Coal Tbk;16 Okt 2017
MTWI;PT Malacca Trust Wuwungan Insurance Tbk.;12 Okt 2017
GMFI;PT Garuda Maintenance Facility Aero Asia Tbk.;10 Okt 2017
KIOS;PT Kioson Komersial Indonesia Tbk.;05 Okt 2017
BELL;PT Trisula Textile Industries Tbk;03 Okt 2017
MDKI;PT Emdeki Utama Tbk;25-Sep-17
NASA;PT Andalan Perkasa Abadi Tbk;07 Agt 2017
MARK;PT Mark Dynamics Indonesia Tbk.;12-Jul-17
MPOW;PT Megapower Makmur Tbk.;05-Jul-17
HOKI;PT Buyung Poetra Sembada Tbk.;22-Jun-17
MABA;PT Marga Abhinaya Abadi Tbk;22-Jun-17
ARMY;PT Armidian Karyatama Tbk;21-Jun-17
HRTA;PT Hartadinata Abadi Tbk;21-Jun-17
MAPB;PT MAP Boga Adiperkasa Tbk.;21-Jun-17
WOOD;PT Integra Indocabinet Tbk;21-Jun-17
KMTR;PT Kirana Megatara Tbk.;19-Jun-17
TOPS;PT Totalindo Eka Persada Tbk.;16-Jun-17
FIRE;PT Alfa Energi Investama Tbk.;09-Jun-17
TGRA;PT Terregra Asia Energy;16 Mei 2017
CSIS;PT Cahayasakti Investindo Sukses Tbk;10 Mei 2017
TAMU;PT Pelayaran Tamarin Samudra Tbk.;10 Mei 2017
CLEO;PT Sariguna Primatirta Tbk;05 Mei 2017
FORZ;PT Forza Land Indonesia Tbk.;28-Apr-17
MINA;PT Sanurhasta Mitra Tbk.;28-Apr-17
CARS;PT Industri dan Perdagangan Bintraco Dharma Tbk;10-Apr-17
PORT;PT Nusantara Pelabuhan Handal Tbk.;16-Mar-17
BOGA;PT Bintang Oto Global Tbk;19 Des 2016
PRDA;PT Prodia Widyahusada Tbk.;07 Des 2016
AGII;PT Samator Indo Gas Tbk;28-Sep-16
PBSA;PT Paramita Bangun Sarana Tbk;28-Sep-16
WSBP;PT Waskita Beton Precast Tbk.;20-Sep-16
INCF;PT Indo Komoditi Korpora Tbk;06-Sep-16
CASA;PT Capital Financial Indonesia Tbk;19-Jul-16
OASA;PT Maharaksa Biru Energi Tbk;18-Jul-16
JGLE;PT Graha Andrasentra Propertindo Tbk.;29-Jun-16
DAYA;PT Duta Intidaya Tbk.;28-Jun-16
SHIP;PT Sillo Maritime Perdana Tbk;16-Jun-16
POWR;PT Cikarang Listrindo Tbk.;14-Jun-16
BGTG;PT Bank Ganesha Tbk.;12 Mei 2016
MARI;PT Mahaka Radio Integra Tbk.;11-Feb-16
MTRA;PT Mitra Pemuda Tbk.;10-Feb-16
ARTO;PT Bank Jago Tbk.;12-Jan-16
KINO;PT Kino Indonesia Tbk;11 Des 2015
AMIN;PT Ateliers Mecaniques D Indonesie Tbk.;10 Des 2015
IDPR;PT Indonesia Pondasi Raya Tbk.;10 Des 2015
DPUM;PT Dua Putra Utama Makmur Tbk.;08 Des 2015
MKNT;PT Mitra Komunikasi Nusantara Tbk.;26 Okt 2015
VINS;PT Victoria Insurance Tbk.;28-Sep-15
BBHI;PT Allo Bank Indonesia Tbk;12 Agt 2015
BIKA;PT Binakarya Jaya Abadi Tbk.;14-Jul-15
ATIC;PT Anabatic Technologies Tbk;08-Jul-15
BOLT;PT Garuda Metalindo Tbk.;07-Jul-15
BUKK;Bukaka Teknik Utama Tbk;29-Jun-15
MDKA;PT Merdeka Copper Gold Tbk.;19-Jun-15
MMLP;PT Mega Manunggal Property Tbk.;12-Jun-15
DMAS;PT Puradelta Lestari Tbk.;29 Mei 2015
PPRO;PT PP Properti Tbk.;19 Mei 2015
KOPI;PT Mitra Energi Persada Tbk;04 Mei 2015
MIKA;PT Mitra Keluarga Karyasehat Tbk.;24-Mar-15
BBYB;PT Bank Neo Commerce Tbk.;13-Jan-15
GOLL;PT Golden Plantation Tbk;23 Des 2014
AGRS;PT Bank IBK Indonesia Tbk.;22 Des 2014
IBFN;PT Intan Baru Prana Tbk;22 Des 2014
IMPC;PT Impack Pratama Industri Tbk;17 Des 2014
SOCI;PT Soechi Lines Tbk.;03 Des 2014
BIRD;PT Blue Bird Tbk;05-Nov-14
DNAR;PT Bank Oke Indonesia Tbk.;11-Jul-14
TARA;PT Agung Semesta Sejahtera Tbk;11-Jul-14
MBAP;PT Mitrabara Adiperdana Tbk;10-Jul-14
BPII;PT Batavia Prosperindo Internasional Tbk.;08-Jul-14
MGNA;PT Magna Investama Mandiri Tbk;08-Jul-14
CINT;PT Chitose Internasional Tbk;27-Jun-14
LINK;PT Link Net Tbk.;02-Jun-14
LRNA;PT Eka Sari Lorena Transport Tbk.;15-Apr-14
MDIA;PT Intermedia Capital Tbk.;11-Apr-14
BLTZ;PT Graha Layar Prima Tbk.;10-Apr-14
WTON;Wijaya Karya Beton;08-Apr-14
BALI;PT Bali Towerindo Sentra Tbk.;13-Mar-14
TALF;PT Tunas Alfin Tbk;17-Jan-14
ASMI;PT Asuransi Maximus Graha Persada Tbk.;16-Jan-14
BINA;PT Bank Ina Perdana Tbk.;16-Jan-14
CANI;PT Capitol Nusantara Indonesia Tbk.;16-Jan-14
PNBS;PT Bank Panin Dubai Syariah Tbk.;15-Jan-14
SIDO;PT Industri Jamu Dan Farmasi Sido Muncul Tbk;18 Des 2013
SSMS;PT Sawit Sumbermas Sarana Tbk.;12 Des 2013
LEAD;PT Logindo Samudramakmur Tbk.;11 Des 2013
IMJS;PT Indomobil Multi Jasa Tbk.;10 Des 2013
KRAH;PT Grand Kartech Tbk;08-Nov-13
APII;PT Arita Prima Indonesia Tbk.;29 Okt 2013
SILO;PT Siloam International Hospitals Tbk.;12-Sep-13
BMAS;PT Bank Maspion Indonesia Tbk.;11-Jul-13
BBMD;PT Bank Mestika Dharma Tbk.;08-Jul-13
MLPT;PT Multipolar Technology Tbk.;08-Jul-13
VICO;PT Victoria Investama Tbk.;08-Jul-13
ECII;PT Electronic City Indonesia Tbk.;03-Jul-13
SMBR;PT Semen Baturaja Tbk;28-Jun-13
NRCA;PT Nusa Raya Cipta Tbk.;27-Jun-13
SRTG;PT Saratoga Investama Sedaya Tbk.;26-Jun-13
ACST;PT Acset Indonusa Tbk.;24-Jun-13
